Code,Academic Year,Degree,same_as_wikidata_degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
2502393,2024-2025,Ingeniería Electrónica Industrial y Automática,,94788ef73d09aa18e509a9f39988367c,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502392,2024-2025,electronic engineering,https://wikidata.org/entity/Q126095,1049bdcae6ea1aecedb5e152ba13b090,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2503515,2024-2025,Ingeniería en Automoción,,2653b2f539281e4a03c37a6c9f4bbdbb,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501528,2024-2025,Ingeniería en Geomática y Topografía,,70ac5d756a3b28293653031e14f8f983,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502751,2024-2025,Ingeniería en Innovación de Procesos y Productos,,c3c76f16b9807c5e553dadd1b8cf6bd3,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501645,2024-2025,industrial engineering and management,https://wikidata.org/entity/Q6314146,8e60c8ea9d9f0dcf40954e8e67e5662f,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501646,2024-2025,Ingeniería en Tecnología de Telecomunicación,,0d7fb37a51f42dde5c728769e0fc0439,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501647,2024-2025,industrial engineering,https://wikidata.org/entity/Q4489420,516369334ae4fd090849b2ec19ee3671,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502031,2024-2025,Ingeniería Informática de Gestión y Sistemas de Información,,74cad6192df46ac52ea4157ec57f4d77,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502394,2024-2025,computer engineering,https://wikidata.org/entity/Q428691,ab7823390593841765a893ee07656cbc,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502396,2024-2025,mechanical engineering,https://wikidata.org/entity/Q101333,1666aa0cda3fd212a4d64a9d3af51ffc,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502032,2024-2025,Ingeniería Química Industrial,,ecc2e5ad769ef7a0a611730993176f3c,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502398,2024-2025,chemical engineering,https://wikidata.org/entity/Q83588,68de228545bad16f258802d63b77a45b,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2504060,2024-2025,artificial intelligence,https://wikidata.org/entity/Q11660,0bb98f2b82ac7d7c1181fbb411f278ea,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
1500197,2024-2025,speech-language pathology,https://wikidata.org/entity/Q33226,7ec32064ac2e94df85bdd2c6158466af,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,3a55b686cea34a8923b6ea395549772e
2502395,2024-2025,Marina,,b1f9c9f3af3e2e12e9ad896f130e7075,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,3a55b686cea34a8923b6ea395549772e
2502027,2024-2025,marketing,https://wikidata.org/entity/Q39809,ddc79f4f6fb85c7986ef41b20cf3e2e0,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501635,2024-2025,mathematics,https://wikidata.org/entity/Q395,aee4f0866a7879d3f957bdd8ea1c9072,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502016,2024-2025,medicine,https://wikidata.org/entity/Q11190,5e4131abfdddafa29fe1d60414950bfc,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2502397,2024-2025,Náutica y Transporte Marítimo,,86b0ba0b28e1d65b73d2ffb235fee06e,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502504,2024-2025,Nutrición Humana y Dietética,,811cd5fe54a1d3308235298e9ee4f0b8,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2502018,2024-2025,dentistry,https://wikidata.org/entity/Q12128,69d23d0b0194ca96c231d3af7c68c50d,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2501475,2024-2025,pedagogy,https://wikidata.org/entity/Q7922,bf0c18c8dee22d23ad80733eb2001739,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501476,2024-2025,journalism,https://wikidata.org/entity/Q11030,b6a61a973abf0b90d2e090cea6d1724d,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501636,2024-2025,psychology,https://wikidata.org/entity/Q9418,3f2d6f91442dc0c33c0d2d78d9a71aa1,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2501477,2024-2025,marketing,https://wikidata.org/entity/Q39809,97fc0edebae3bc56b9ac3e8abce20dd4,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502505,2024-2025,chemistry,https://wikidata.org/entity/Q2329,9e1766901a32fa3d728923b4e39031c7,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2501641,2024-2025,human resource management,https://wikidata.org/entity/Q1056396,805de6c781898489abfc352fbe5b6bd2,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501478,2024-2025,Sociología,,1bd16a21320cb82b895f4e2c2ef6ab9f,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501642,2024-2025,social work,https://wikidata.org/entity/Q205398,6c355d1e0053a7d28c597e5a1f73c38d,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501396,2024-2025,translation and interpretation,https://wikidata.org/entity/Q11704681,f21bece9f1de74afeda956901e4b59a8,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
4313713,2024-2025,Abogacía y Procura,,c00c6e2470c6e7b3c950de25f39acbf6,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4311616,2024-2025,Adquisición de Lenguas en Contextos Multilingües / Master in Language Acquisition in Multilingual Settings (LAMS),,f4595c1c129c4d8409cef2e347d7167d,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,3a55b686cea34a8923b6ea395549772e
4311618,2024-2025,forensic science,https://wikidata.org/entity/Q495304,d3eaaf7cb657126dcda8ae5a567e6477,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4310238,2024-2025,Análisis y Procesamiento del Lenguaje/Hizkuntzaren Azterketa eta Prozesamendua,,3dec9c914399ea3f5137c620e9be8950,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,3a55b686cea34a8923b6ea395549772e
4314540,2024-2025,social anthropology,https://wikidata.org/entity/Q29051,66807bf8c37201430e3e3f01db501bbd,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4315254,2024-2025,architecture,https://wikidata.org/entity/Q12271,681826210c58d25b39cd044212d95979,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4313945,2024-2025,Arte Contemporáneo Tecnológico y Performativo,,654414c3b3f42f846a22ed6573b9431b,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4315255,2024-2025,Auditoría de Cuentas y Contabilidad Superior,,bac348fda9ce9f7381524ea902c05ca6,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4311621,2024-2025,"Biodiversidad, Funcionamiento y Gestión de Ecosistemas",,751a8feb21b3872f2b731289b68d1f6b,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4311623,2024-2025,Calidad y Seguridad Alimentaria,,2c0c9797fe8571ca7bffd496d416e436,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4312995,2024-2025,Cerámica: Arte y Función,,b067b0d38f6bfc561b265a84e7a69dc0,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,3a55b686cea34a8923b6ea395549772e
4312557,2024-2025,"Ciencia Cognitiva y Humanidades: Lenguaje, Comunicación y Organización",,279d72ed177dbbc23bc0c001118e0e4b,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4312558,2024-2025,Ciencia y Tecnología Cuánticas,,8844ac0a6f9b3bc7d7173524c6bd712d,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4311624,2024-2025,spatial science,https://wikidata.org/entity/Q1870019,5b051399d14b59466f97e1f0634016a4,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4316008,2024-2025,Ciencias Actuariales y Financieras,,36853b942b83ffb581480a43df125000,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4312401,2024-2025,sports science,https://wikidata.org/entity/Q1298380,23d4429dde280d499bb253b99a189ac1,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4313946,2024-2025,Computación de Altas Prestaciones,,43a1d5274c900f3d604dec778d7aa25e,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
