Academic Year,Centre Code,Faculty,Same_as_Wikidata_faculty,Faculty ID,University,Same_as_Wikidata_University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Same_as_Wikidata_Degree,Degree ID,Knowledge Area,Knowledge Area ID,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30011715,Facultad de Informática,https://www.wikidata.org/entity/Q8960724,de53397f361c08b30696e7a678f3c031,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504340,Ciencia e Ingeniería de Datos,,70c41c3161c1ce2eee740e4e8957bd48,Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,36,0,0,3,31
2024-2025,30008248,medical school,https://www.wikidata.org/entity/Q494230,645ccb75ce30b4d9cf15a6825de02c84,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2502059,medicine,https://www.wikidata.org/entity/Q11190,bb6f5dd4149c7a7eeae9c728265fe9f4,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,206,0,0,0,195
2024-2025,30010218,Faculty of Chemistry (UNAM),https://www.wikidata.org/entity/Q8960741,ec8a9e514edd57590d39bcac53b878de,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500383,chemical engineering,https://www.wikidata.org/entity/Q83588,b5a1619dd7d7521952e1c62340e607a5,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,61,0,9,31,21
2024-2025,30010218,Faculty of Chemistry (UNAM),https://www.wikidata.org/entity/Q8960741,ec8a9e514edd57590d39bcac53b878de,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500517,chemistry,https://www.wikidata.org/entity/Q2329,c67740fa16363891a1523dac40803b85,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,63,0,0,44,19
2024-2025,30013888,Facultad de Óptica y Optometría (Universidad de Murcia),https://www.wikidata.org/entity/Q5855178,b682305b618d55a6d1b77c166ca933de,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500724,Óptica y Optometría,,3c63f8a127a9ec0faef697d4fa2f687e,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,54,11,16,25,2
2024-2025,30011430,Facultad de Comunicación y Documentación (Universidad de Granada),https://www.wikidata.org/entity/Q5854800,4e1a7d2a4a121e855e078ea873f18e11,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500855,journalism,https://www.wikidata.org/entity/Q11030,bb36200e87763347bfda59819a5f65ca,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,60,6,19,31,4
2024-2025,30011961,Facultad de Educación (Universidad Nacional Mayor de San Marcos),https://www.wikidata.org/entity/Q5647268,5afcf07f7c18034598dc5881a5d380e3,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Doble Grado,fba30e9ec1935ca7d36277ba76dddbba,7001132,Educación Primaria y Ciencias de la Actividad Física y Deporte,,a0f8cd204ccf518b703cabae25e6ae1d,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,68,0,0,41,25
2024-2025,30011958,Facultad de Matemáticas,https://www.wikidata.org/entity/Q97183329,71bf39f017bb5fe70ea279509a39307f,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500378,mathematics,https://www.wikidata.org/entity/Q395,51c91b9e44598e15c2826107beb7c3f9,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,69,0,0,0,67
2024-2025,30011958,Facultad de Matemáticas,https://www.wikidata.org/entity/Q97183329,71bf39f017bb5fe70ea279509a39307f,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Doble Grado,fba30e9ec1935ca7d36277ba76dddbba,7000245,Matemáticas y Ingeniería Informática,,ff8c3a418222c3635628b7420015372a,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,39,0,0,0,38
2024-2025,30008248,medical school,https://www.wikidata.org/entity/Q494230,645ccb75ce30b4d9cf15a6825de02c84,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500943,dentistry,https://www.wikidata.org/entity/Q12128,18000b222a1761f087d54698dff38e7d,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,39,0,0,0,36
2024-2025,30008224,faculty of law,https://www.wikidata.org/entity/Q3488547,288d0da066d511cc53b58999dd5950b6,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500719,law,https://www.wikidata.org/entity/Q7748,4a83674c810a748d9a2c2de186d757dd,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,364,0,0,251,106
2024-2025,30011831,Facultad de Psicología,https://www.wikidata.org/entity/Q5855133,346f01b7d8ce52a0eae23e2aa55a9996,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500725,psychology,https://www.wikidata.org/entity/Q9418,3d02c916a564b512d64c9718ecf68446,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,195,0,0,146,42
2024-2025,30010218,Faculty of Chemistry (UNAM),https://www.wikidata.org/entity/Q8960741,ec8a9e514edd57590d39bcac53b878de,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500375,biochemistry,https://www.wikidata.org/entity/Q7094,9d6113ff89a00bdf35d32cfe5e5bbc3c,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,76,0,0,46,27
2024-2025,30011961,Facultad de Educación (Universidad Nacional Mayor de San Marcos),https://www.wikidata.org/entity/Q5647268,5afcf07f7c18034598dc5881a5d380e3,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500380,Educació General Bàsica,https://www.wikidata.org/entity/Q8772451,63da40da0a64102251e8d8ccdd3b20ad,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,273,0,0,151,108
2024-2025,30011430,Facultad de Comunicación y Documentación (Universidad de Granada),https://www.wikidata.org/entity/Q5854800,4e1a7d2a4a121e855e078ea873f18e11,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504418,Estudios de Comunicación y Medios,,9904967644ac6e6d6a67c321899891a7,Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,27,1,14,10,2
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,,a7512303bb72ec2d6ffcdfabcf24b51a,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500942,Enfermería (Lorca),,3c81349c09c5f0a4ed3899891167fd92,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,64,0,0,46,16
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500368,French studies,https://www.wikidata.org/entity/Q1450761,3a9b3d97f528b4240fbf329c2e664cee,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,6,0,2,3,1
2024-2025,30011831,Facultad de Psicología,https://www.wikidata.org/entity/Q5855133,346f01b7d8ce52a0eae23e2aa55a9996,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500493,speech-language pathology,https://www.wikidata.org/entity/Q33226,da1e3dee6bb9ccd9f3f9635f0faa72e6,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,97,31,42,22,1
2024-2025,30013645,faculty of economics and business administration,https://www.wikidata.org/entity/Q11606478,ef2db1984f3433e9610f84c2b66e0456,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500721,economics,https://www.wikidata.org/entity/Q8134,c175fa27f6aff92cf3b33d178565c230,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,140,0,23,84,32
