Academic Year,UniversityID,DegreeID,Degree,sameAsWikidata,sameAs,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,04fd0d8a547a17bf0ee061c8270e1972,EDUCACION INFANTIL,preschool education in Spain,https://www.wikidata.org/wiki/Q3396243,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,459
2024-25,a62a164f781be26dd225dfda47b78c12,66c206794f40906b1c5393c4496d2706,EDUCACION PRIMARIA,primary education,https://www.wikidata.org/wiki/Q975085,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,450
2024-25,a62a164f781be26dd225dfda47b78c12,64e36d464ba01fbe2788a793acd102b8,ENFERMERIA,nursing,https://www.wikidata.org/wiki/Q121176,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,4dbfcc5399670790df2c11aaaa46faec,HISTORIA E HISTORIA DEL ARTE,HISTORIA E HISTORIA DEL ARTE,,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,360,396
2024-25,a62a164f781be26dd225dfda47b78c12,78bba9df2e180d0e9e4f1217000d8753,"HISTORIA Y GEOGRAFIA, DESARROLLO TERRITORIAL Y SOSTENIBILIDAD","HISTORIA Y GEOGRAFIA, DESARROLLO TERRITORIAL Y SOSTENIBILIDAD",,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,360,372
2024-25,a62a164f781be26dd225dfda47b78c12,3b66122460ef83b17f68c51237c37590,ESPAÑOL: LENGUA Y LITERATURA,Spanish philology,https://www.wikidata.org/wiki/Q3381164,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,354
2024-25,a62a164f781be26dd225dfda47b78c12,65ab56e3c3d69536956bd53a1a885f1f,ESTUDIOS INGLESES,English studies,https://www.wikidata.org/wiki/Q27968,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,330
2024-25,a62a164f781be26dd225dfda47b78c12,77e72cbff00ba16a4701d8bafb35f7f0,GEOGRAFIA Y ORDENACION DEL TERRITORIO,GEOGRAFIA Y ORDENACION DEL TERRITORIO,,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,0
2024-25,a62a164f781be26dd225dfda47b78c12,20fbbf7aa3571b964957e62badddf828,"GEOGRAFIA, DESARROLLO TERRITORIAL Y SOSTENIBILIDAD","GEOGRAFIA, DESARROLLO TERRITORIAL Y SOSTENIBILIDAD",,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,946ea4fa77544db06e11369f90e0998d,HISTORIA,history,https://www.wikidata.org/wiki/Q309,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,486
2024-25,a62a164f781be26dd225dfda47b78c12,aeaf273714f68e4689416f9985eeca67,HISTORIA DEL ARTE,history of art,https://www.wikidata.org/wiki/Q50641,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,462
2024-25,a62a164f781be26dd225dfda47b78c12,72f501e0f19c0e02a746104fe90d6027,LENGUAS Y LITERATURAS MODERNAS:FRANCES-INGLES,LENGUAS Y LITERATURAS MODERNAS:FRANCES-INGLES,,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,294
2024-25,a62a164f781be26dd225dfda47b78c12,f9ba38892c9a4f315ea0ae7d512e79e7,MEDICINA,medicine,https://www.wikidata.org/wiki/Q11190,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,360,378
2024-25,a62a164f781be26dd225dfda47b78c12,7eae20306d21583402ceb70efb50c264,INGENIERIA BIOMEDICA,biomedical engineering,https://www.wikidata.org/wiki/Q327092,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,120
2024-25,a62a164f781be26dd225dfda47b78c12,cc34e1aae20ed20334369353fe5e0236,INGENIERIA DE EDIFICACION,architectural engineering,https://www.wikidata.org/wiki/Q150737,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,267
2024-25,a62a164f781be26dd225dfda47b78c12,cbeed336381bdf2d851a1c9ab647dbe4,INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,288
2024-25,a62a164f781be26dd225dfda47b78c12,ee4064cf4a9209bf369023716a0220eb,BELLAS ARTES,fine art,https://www.wikidata.org/wiki/Q219625,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,390
2024-25,a62a164f781be26dd225dfda47b78c12,2843c030da1905904f4778f472e5ad89,EDUCACION SOCIAL,social pedagogy,https://www.wikidata.org/wiki/Q1572493,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,270
2024-25,a62a164f781be26dd225dfda47b78c12,769f7d386fd3d50b0c94ee3a8ab0987c,HUMANIDADES: HISTORIA CULTURAL,cultural history,https://www.wikidata.org/wiki/Q858517,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,270
